Ticker,AnnRet%,Sharpe,Trades,WinRate%
2603,57.68,1.351,72,72.222
2330,26.97,1.252,78,62.821
2454,27.044,0.984,80,67.5
2303,21.917,0.873,81,66.667
2891,10.162,0.731,80,66.25
2886,7.789,0.67,79,65.823
2317,12.262,0.664,91,62.637
2308,12.862,0.663,84,65.476
2882,9.449,0.654,75,66.667
2207,7.582,0.43,92,58.696
5871,7.163,0.414,83,0.0
2881,4.955,0.369,99,76.768
2892,3.277,0.338,82,62.195
1101,2.509,0.242,79,0.0
2301,2.243,0.212,88,0.0
2002,-0.745,0.046,93,56.989
3008,-2.288,0.037,89,57.303
1301,-5.393,-0.342,98,61.224
2412,-3.275,-0.381,124,58.871
1216,-8.727,-0.692,110,55.455
